Punto de consulta, k=1000, k=2000, k=3000, k=4000, k=5000, k=6000, k=7000, k=8000, k=9000
289, 425, 284: 10.4854, 16.2268, 22.1193, 26.4425, 31.6069, 37.6561, 41.9695, 47.2944, 54.0588
98, 254, 307: 9.8746, 15.3322, 20.4735, 26.7494, 32.6154, 37.8487, 43.1111, 52.3109, 63.1273
27, 255, 200: 4.6308, 12.697, 16.6299, 21.966, 22.6481, 28.4827, 30.5865, 39.0401, 59.0425
22, 16, 76: 6.0577, 13.3021, 19.1367, 22.9845, 31.4806, 33.2181, 34.0447, 37.0777, 41.5459
42, 110, 11: 5.5592, 12.289, 16.8266, 22.8057, 22.4922, 25.9464, 29.9385, 34.2994, 40.477
227, 459, 399: 12.4137, 19.0177, 24.9579, 33.2317, 40.1192, 47.9548, 57.8022, 67.2207, 75.9816
350, 223, 134: 10.5507, 19.1884, 29.4321, 35.2237, 37.2078, 40.6225, 44.9541, 48.3618, 44.0228
227, 386, 317: 11.4524, 20.668, 29.1378, 39.6345, 47.4505, 58.5036, 71.0416, 75.5188, 87.9111
460, 31, 229: 13.3688, 26.4478, 37.9813, 47.8334, 55.727, 69.2542, 70.0161, 80.2186, 87.5111
212, 472, 396: 10.7315, 21.7721, 26.9492, 32.7909, 37.6167, 45.3529, 52.5353, 60.2739, 65.273
