CANT TIEMPO
40400 13.9326
40500 13.9439
40600 13.9603
40700 13.9598
40800 13.9694
40900 13.9831
41000 13.6083
41100 13.6316
41200 13.6468
41300 13.6413
41400 13.6629
41500 13.6586
41600 13.6805
41700 13.6921
41800 13.7095
41900 13.7169
42000 13.6952
42100 13.7037
42200 13.7196
42300 13.736
42400 13.7358
42500 13.7423
42600 13.7631
42700 13.7685
42800 13.7775
42900 13.7897
43000 13.8032
43100 13.7249
43200 13.7501
43300 13.7569
43400 13.7663
43500 13.7828
43600 13.786
43700 13.7919
43800 13.8053
43900 13.8181
44000 13.8266
44100 13.801
44200 13.8213
44300 13.8258
44400 13.8371
44500 13.8528
44600 13.8504
44700 13.869
44800 13.8729
44900 13.8895
45000 13.9044
45100 13.7421
45200 13.7514
45300 13.7584
45400 13.779
45500 13.7863
45600 13.7877
45700 13.7969
45800 13.8108
45900 13.8097
46000 13.8269
46100 13.7959
46200 13.818
46300 13.828
46400 13.8425
46500 13.8444
46600 13.8403
46700 13.8614
46800 13.8782
46900 13.8826
47000 13.8875
47100 13.9011
47200 13.844
47300 13.8534
47400 13.8471
47500 13.8718
47600 13.8888
47700 13.8724
47800 13.8982
47900 13.8956
48000 13.9126
48100 13.9237
48200 13.8995
48300 13.9112
48400 13.9188
48500 13.9414
48600 13.9549
48700 13.9428
48800 13.959
48900 13.9614
49000 13.9799
49100 13.9924
49200 14.0057
49300 14.0278
49400 14.0319
49500 14.0491
49600 14.0648
49700 14.0616
49800 14.0663
49900 14.0892
50000 14.0883
50100 14.1144
50200 14.0864
50300 14.0976
50400 14.1154
50500 14.1273
50600 14.1441
50700 14.1322
50800 14.1487
50900 14.1604
51000 14.1661
51100 14.1905
51200 14.1222
51300 14.1379
51400 14.1551
51500 14.1558
51600 14.1776
51700 14.2086
51800 14.1804
51900 14.1902
52000 14.2054
52100 14.2159
52200 14.2365
52300 14.2167
52400 14.2309
52500 14.2314
52600 14.2328
52700 14.2524
52800 14.2591
52900 14.2675
53000 14.2688
53100 14.2948
53200 14.2984
53300 14.162
53400 14.1882
53500 14.1922
53600 14.1979
53700 14.2194
53800 14.2148
53900 14.2184
54000 14.2436
54100 14.2381
54200 14.2604
54300 14.23
54400 14.2499
54500 14.2481
54600 14.2603
54700 14.2817
54800 14.2798
54900 14.2849
55000 14.3017
55100 14.3136
55200 14.3308
55300 14.266
